,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
ADAM12,0.049031503,0.082124986,0.061979804,0.103535496,-0.12891367,0.13430923
PCDH12,0.12266423,-0.017506283,0.26875597,-0.0030623928,0.061509136,-0.02242027
PARVG,0.3364656,-0.07494012,0.02257394,0.07045391,0.121777974,0.015113682
CD86,0.30986974,0.007936464,-0.051128432,0.07210646,0.10501825,-0.08982643
FOSB,0.024693739,0.034247976,0.038912836,0.006684011,-0.07861607,-0.0477675
ARHGDIB,0.31014168,-0.08847194,0.017081551,-0.07103439,0.020810137,0.008776414
CYBRD1,0.045966648,0.08769555,0.19045389,-0.056075133,-0.2343718,-0.23299114
KIT,-0.031059526,0.044557326,0.23624958,0.07200044,0.022227675,-0.10663902
GJA1,-0.05858266,0.0239437,0.16481115,0.10970964,-0.14752366,0.16174643
CDH23,-0.034124237,0.12776664,0.17415164,-0.011180972,-0.08932362,-0.059551936
TNFRSF12A,0.1038933,0.08965003,-0.17000027,0.075750746,-0.2066013,0.10580059
DUSP1,0.1405645,0.063086286,-0.07338955,-0.005336247,-0.11440251,-0.079851985
PLCB1,0.008937241,0.27025843,0.08632311,0.09982207,0.08891649,0.0011454233
NETO2,-0.0736578,-0.019041589,-0.005032925,0.21943389,0.083833665,-0.004278093
HEYL,0.065669306,-0.0037983372,0.26419783,0.015288296,0.09168723,0.053595077
SV2A,-0.100001864,-0.0019742677,0.16724233,0.1300677,-0.053973272,-0.016179448
SLC43A2,0.32419845,-0.04981961,-0.008029053,0.059544608,-0.0055023045,0.10232488
LTBP2,0.09809545,-0.00986287,0.20266622,-0.07621625,-0.15320326,-0.15816286
PTGER4,0.21112145,0.08101521,0.034541037,0.0022151193,-0.079390205,-0.14997187
SKP2,-0.1605811,-0.02167937,0.10997445,0.29924944,0.016496103,-0.069827266
A4GALT,0.181311,0.1653646,0.060458414,-0.12087106,0.0830978,-0.019022832
JDP2,0.08419908,-0.14430586,0.17936341,-0.031034477,-0.31435943,0.27033588
SOX18,0.10685491,0.03616134,0.13104185,-0.077245325,0.17921749,0.092087455
PCSK5,0.01409474,0.121803045,0.18036833,-0.059668418,-0.052546058,0.0012413448
DUSP2,0.1402407,-0.23618826,0.020306138,0.002667395,-0.121105716,0.25315556
MTSS1,0.038456578,-0.19943044,0.24413836,0.080892175,0.17578611,0.015352003
PRPH,-0.11222354,-0.02551497,0.07598425,0.07541772,0.12243134,-0.12672044
PLAG1,-0.011043198,0.07399473,0.0696433,0.10408159,0.12452685,0.053679496
ABCA3,0.18102409,-0.08400164,0.10231804,0.075288765,0.25385508,-0.0012381914
UNC5B,-0.10247163,-0.15932806,0.32241544,0.06618155,-0.020414986,-0.034983598
EPAS1,0.19937496,-0.0071768053,0.26368484,-0.08414273,-0.12738346,-0.18184474
CYGB,0.054190185,-0.104757085,0.28409958,-0.032241184,-0.09891887,0.14018811
STEAP2,0.0766219,0.14149943,-0.051908404,0.107184045,0.028002102,0.06704016
CGNL1,0.07145845,0.21435224,0.14514801,0.010776896,-0.09679101,-0.04763292
CDH15,-0.054748785,-0.19789033,0.26284757,0.00024018456,0.15111619,0.0918584
TNN,-0.10004198,0.2216094,0.081290185,-0.004139912,0.006564441,0.12683353
DAAM2,-0.10286656,0.015212684,0.22516456,0.030392464,-0.04468794,-0.12441328
BNIP3,-0.10947461,0.06403274,-0.10259938,0.05297496,-0.0997747,-0.010450638
IL1R1,0.077683285,0.0071940394,0.21097073,-0.05674828,-0.24263379,-0.12230747
LEF1,-0.0927115,0.006153817,0.25215453,0.07971906,-0.039549977,-0.02817527
