,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
INPP5D,0.07127524406085296,-0.032725572994272825,0.002872149284488335,0.03731325691615587,-0.028561850495101244,-0.028542526381962537,0.004960797706375243,0.012438066072720518,-0.021936681332276418,-0.013842257266309667,-0.008723264501633106,-0.013572596489131466
IRF5,0.07399003706803438,-0.030346720059608936,-0.008701631576572017,0.024685686203700426,-0.02314987113849799,0.013694939014212319,0.033304960069180316,0.007149203105249142,0.032296506470067626,0.01804364769013915,-0.05466896155157739,0.0019409736681829035
ITGBL1,0.030438077272906486,0.04662207661348097,0.040512325315287485,-0.01662587585988808,0.00016901353378145217,-0.0021121605686922366,-0.06150665360556465,0.03715082678759675,-0.07614952284636187,0.005625466906043788,0.05807032485553966,-0.0163413668625606
KCNQ1,0.062009127085290806,-0.008134864251275138,0.008286742435146315,0.03362640675376765,-0.04186625815359308,0.004364474399308085,0.005908746530877456,0.03312512605068656,0.038459956666054805,0.015713632648390447,-0.013919569190672908,-0.03874502811302265
KIAA0040,0.046430073430094275,-0.0540039884843128,0.054400268446561255,-0.0015966793130806583,0.0699544410737276,-0.05714721616392569,0.00453036515992057,-0.0256654438473239,-0.017548874813502143,0.014386429286756914,0.017428094322354093,0.060391666827296735
KIF15,-0.0429980906873024,-0.007311737127810303,-0.033978278537312584,0.10571029461494541,0.02611983209955408,0.016721437649446176,-0.042394475720281585,0.021450439726783694,-0.011241738834614082,-0.025302027366640122,-0.021566275636137524,0.008185236464195313
KIF22,-0.03918894046732232,-0.02468616008152407,-0.039135500501635424,0.08991311690690156,0.01604547252355389,0.03839056564813342,0.017479028246376566,0.004689826056834489,0.04988601816335197,0.009262669862897529,-0.01851135571700936,0.06462505341881075
KIF23,-0.041394798351612715,-0.014642296186059393,-0.048495387960627225,0.09434897663897153,0.031754610138613325,0.02946749105094476,-0.036940634313477515,0.018320940547624363,-0.013073574324558752,-0.029418095633132066,0.010731650870533875,0.012185663427873023
KIF4A,-0.03856068312426507,-0.025662177282993894,-0.04391966207752318,0.09599198182437706,0.04830701976755086,0.046688951198300424,-0.017988022316227127,-0.0026280480405684297,0.022199543778167703,-0.04878025569256125,0.022467153170707882,0.03432675803526558
LAMA3,0.015317801277576995,-0.00271183085651551,0.05241702185746934,-0.0062366136669069335,-0.003709958223872646,0.0667443837031648,-0.03390114535709766,-0.006973908908082151,-0.08684460989615378,0.04675863278090415,-0.040313192389180005,0.050699062336573106
LAPTM5,0.07595862266549648,-0.03734663273399533,0.0016809544698880973,0.03263090797130956,0.04732774534175423,-0.037912360730731925,0.04392488158764184,0.0035855257860907827,0.00523227417600784,0.009125931572308347,-0.020588773790378077,-0.008253024595386078
LCP1,0.07630395298667844,-0.04044139588624337,-0.008352278425814794,0.03349654281280616,0.03485484757277385,-0.045740135376202355,0.026658956768792076,0.028321046826677992,-0.0058188028520356,0.008376415901354847,-0.05481917385584819,0.016284700549064817
