endpoint,method,gene,selected_in_folds,mean_gene_rank,n_method_folds,selection_frequency,gene_symbol_clean
DFI,gsmb_alpha0.10,LOC119863969_3,1,10.0,5,0.2,LOC119863969
DFI,gsmb_alpha0.10,STRA6_3,1,10.0,5,0.2,STRA6
DFI,gsmb_alpha0.10,LOC119878294,1,11.0,5,0.2,LOC119878294
DFI,gsmb_alpha0.10,MYOF_3,1,11.0,5,0.2,MYOF
DFI,gsmb_alpha0.10,SPC24_3,1,11.0,5,0.2,SPC24
DFI,gsmb_alpha0.10,TMEM178A_3,1,11.0,5,0.2,TMEM178A
DFI,gsmb_alpha0.10,ADAM19_3,1,12.0,5,0.2,ADAM19
DFI,gsmb_alpha0.10,GLIPR1_3,1,12.0,5,0.2,GLIPR1
DFI,gsmb_alpha0.10,STK39_3,1,12.0,5,0.2,STK39
DFI,gsmb_alpha0.10,H2BC4_3,1,13.0,5,0.2,H2BC4
DFI,iamb_alpha0.10,GPRC5C_3,4,7.0,5,0.8,GPRC5C
DFI,iamb_alpha0.10,ADORA2B_3,3,4.666666666666667,5,0.6,ADORA2B
DFI,iamb_alpha0.10,ACSS3_3,3,9.0,5,0.6,ACSS3
DFI,iamb_alpha0.10,PTTG1_3,2,2.0,5,0.4,PTTG1
DFI,iamb_alpha0.10,CENPV_3,2,4.0,5,0.4,CENPV
DFI,iamb_alpha0.10,MYOF_3,2,5.5,5,0.4,MYOF
DFI,iamb_alpha0.10,OSR2_3,2,8.0,5,0.4,OSR2
DFI,iamb_alpha0.10,TRIP13_3,2,8.0,5,0.4,TRIP13
DFI,iamb_alpha0.10,LOC119876408,1,1.0,5,0.2,LOC119876408
DFI,iamb_alpha0.10,MRI1_3,1,1.0,5,0.2,MRI1
DFI,iamb_alpha0.10,DMRTA1_3,1,2.0,5,0.2,DMRTA1
DFI,iamb_alpha0.10,FAM167A_3,1,2.0,5,0.2,FAM167A
DFI,iamb_alpha0.10,ANGPT2_3,1,3.0,5,0.2,ANGPT2
DFI,iamb_alpha0.10,MCAM_3,1,3.0,5,0.2,MCAM
DFI,iamb_alpha0.10,MREG_3,1,3.0,5,0.2,MREG
DFI,iamb_alpha0.10,ADRA1B_3,1,4.0,5,0.2,ADRA1B
DFI,iamb_alpha0.10,FAM81A_3,1,4.0,5,0.2,FAM81A
DFI,iamb_alpha0.10,STK39_3,1,4.0,5,0.2,STK39
DFI,iamb_alpha0.10,APELA_3,1,5.0,5,0.2,APELA
DFI,iamb_alpha0.10,EXO1_3,1,5.0,5,0.2,EXO1
DFI,iamb_alpha0.10,LOC119878257,1,5.0,5,0.2,LOC119878257
DFI,iamb_alpha0.10,SMTNL2_3,1,5.0,5,0.2,SMTNL2
DFI,iamb_alpha0.10,ADAMTS4_3,1,6.0,5,0.2,ADAMTS4
DFI,iamb_alpha0.10,ANKRD37_3,1,6.0,5,0.2,ANKRD37
DFI,iamb_alpha0.10,HIC1_3,1,6.0,5,0.2,HIC1
DFI,iamb_alpha0.10,P4HA1_3,1,6.0,5,0.2,P4HA1
DFI,iamb_alpha0.10,DDIT4_3,1,7.0,5,0.2,DDIT4
DFI,iamb_alpha0.10,EPHA2_3,1,7.0,5,0.2,EPHA2
DFI,iamb_alpha0.10,LOC111094227_3,1,7.0,5,0.2,LOC111094227
DFI,iamb_alpha0.10,LOC119863969_3,1,7.0,5,0.2,LOC119863969
DFI,iamb_alpha0.10,RENBP_3,1,7.0,5,0.2,RENBP
DFI,iamb_alpha0.10,CLCN5_3,1,8.0,5,0.2,CLCN5
DFI,iamb_alpha0.10,KLHL38_3,1,8.0,5,0.2,KLHL38
DFI,iamb_alpha0.10,STRA6_3,1,8.0,5,0.2,STRA6
DFI,iamb_alpha0.10,LOC119878294,1,9.0,5,0.2,LOC119878294
DFI,iamb_alpha0.10,PER1_3,1,9.0,5,0.2,PER1
DFI,iamb_alpha0.10,RETSAT_3,1,9.0,5,0.2,RETSAT
DFI,iamb_alpha0.10,SLC5A6_3,1,9.0,5,0.2,SLC5A6
DFI,iamb_alpha0.10,TMEM178A_3,1,9.0,5,0.2,TMEM178A
DFI,iamb_alpha0.10,HSP70_3,1,10.0,5,0.2,HSP70
