analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,interpretable,factor,signed_cosine,absolute_cosine,squared_cosine,active_group_count,active_groups,activity_class
four_cohort_detection_aware_variable_only_700,8,M34,162,40,0.24691358024691357,True,Factor2,0.13471903904164628,0.13471903904164628,0.018149219480304617,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware_variable_only_700,8,M34,162,40,0.24691358024691357,True,Factor3,-0.06359818702312602,0.06359818702312602,0.004044729392628514,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware_variable_only_700,8,M34,162,40,0.24691358024691357,True,Factor4,-0.05333888164288134,0.05333888164288134,0.0028450362949133043,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware_variable_only_700,8,M34,162,40,0.24691358024691357,True,Factor5,-0.03596000904216018,0.03596000904216018,0.001293122250312242,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware_variable_only_700,8,M34,162,40,0.24691358024691357,True,Factor6,0.07432977303314396,0.07432977303314396,0.005524915159158695,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware_variable_only_700,8,M11,7,5,0.7142857142857143,True,Factor1,0.015994318681219453,0.015994318681219453,0.00025581823007640557,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware_variable_only_700,8,M11,7,5,0.7142857142857143,True,Factor2,0.09949893175646995,0.09949893175646995,0.009900037420678666,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware_variable_only_700,8,M11,7,5,0.7142857142857143,True,Factor3,0.037841918793127115,0.037841918793127115,0.001432010817945627,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware_variable_only_700,8,M11,7,5,0.7142857142857143,True,Factor4,0.06124946606849,0.06124946606849,0.003751497093675108,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware_variable_only_700,8,M11,7,5,0.7142857142857143,True,Factor5,0.004268648247545839,0.004268648247545839,1.822135786127616e-05,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware_variable_only_700,8,M11,7,5,0.7142857142857143,True,Factor6,0.021168758678620468,0.021168758678620468,0.0004481163439936694,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware_variable_only_700,8,M24,7,0,0.0,False,Factor1,,,,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware_variable_only_700,8,M24,7,0,0.0,False,Factor2,,,,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware_variable_only_700,8,M24,7,0,0.0,False,Factor3,,,,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware_variable_only_700,8,M24,7,0,0.0,False,Factor4,,,,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware_variable_only_700,8,M24,7,0,0.0,False,Factor5,,,,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware_variable_only_700,8,M24,7,0,0.0,False,Factor6,,,,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware_variable_only_700,8,M40,111,29,0.26126126126126126,True,Factor1,-0.19525015201216195,0.19525015201216195,0.03812262186077235,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
