endpoint,repeat,fold,module_label,model,c_index,error,n_train,n_test,train_events,test_events,n_module_genes_used,n_original_proliferation_genes_used,n_disjoint_proliferation_genes_used,module_pc1_explained_variance,original_proliferation_pc1_explained_variance,disjoint_proliferation_pc1_explained_variance,train_module_original_proliferation_correlation,train_module_disjoint_proliferation_correlation,residual_sd_before_standardization
DFI,19,5,M30,residual_to_disjoint_proliferation,0.5036363636363637,,149,37,114,29,7,251,251,0.7155090370943611,0.6512064060915287,0.6512064060915287,-0.37033801480680045,-0.37033801480680045,0.9288970636130561
DFI,19,5,M30,residual_to_disjoint_proliferation_and_weight,0.49272727272727274,,149,37,114,29,7,251,251,0.7155090370943611,0.6512064060915287,0.6512064060915287,-0.37033801480680045,-0.37033801480680045,0.9260467350747227
DFI,19,5,M34,module_only,0.5890909090909091,,149,37,114,29,238,251,251,0.49009875513506723,0.6512064060915287,0.6512064060915287,-0.30269313658858543,-0.30269313658858543,
DFI,19,5,M34,original_proliferation_only,0.5509090909090909,,149,37,114,29,238,251,251,0.49009875513506723,0.6512064060915287,0.6512064060915287,-0.30269313658858543,-0.30269313658858543,
DFI,19,5,M34,module_plus_original_proliferation,0.5836363636363636,,149,37,114,29,238,251,251,0.49009875513506723,0.6512064060915287,0.6512064060915287,-0.30269313658858543,-0.30269313658858543,
DFI,19,5,M34,disjoint_proliferation_only,0.5509090909090909,,149,37,114,29,238,251,251,0.49009875513506723,0.6512064060915287,0.6512064060915287,-0.30269313658858543,-0.30269313658858543,
DFI,19,5,M34,module_plus_disjoint_proliferation,0.5836363636363636,,149,37,114,29,238,251,251,0.49009875513506723,0.6512064060915287,0.6512064060915287,-0.30269313658858543,-0.30269313658858543,
DFI,19,5,M34,residual_to_original_proliferation,0.5872727272727273,,149,37,114,29,238,251,251,0.49009875513506723,0.6512064060915287,0.6512064060915287,-0.30269313658858543,-0.30269313658858543,0.9530880678416681
DFI,19,5,M34,residual_to_disjoint_proliferation,0.5872727272727273,,149,37,114,29,238,251,251,0.49009875513506723,0.6512064060915287,0.6512064060915287,-0.30269313658858543,-0.30269313658858543,0.9530880678416681
DFI,19,5,M34,residual_to_disjoint_proliferation_and_weight,0.5836363636363636,,149,37,114,29,238,251,251,0.49009875513506723,0.6512064060915287,0.6512064060915287,-0.30269313658858543,-0.30269313658858543,0.9395845810658373
DFI,19,5,M38,module_only,0.6054545454545455,,149,37,114,29,8,251,251,0.4452404605878321,0.6512064060915287,0.6512064060915287,-0.5195565424058544,-0.5195565424058544,
DFI,19,5,M38,original_proliferation_only,0.5509090909090909,,149,37,114,29,8,251,251,0.4452404605878321,0.6512064060915287,0.6512064060915287,-0.5195565424058544,-0.5195565424058544,
DFI,19,5,M38,module_plus_original_proliferation,0.6,,149,37,114,29,8,251,251,0.4452404605878321,0.6512064060915287,0.6512064060915287,-0.5195565424058544,-0.5195565424058544,
DFI,19,5,M38,disjoint_proliferation_only,0.5509090909090909,,149,37,114,29,8,251,251,0.4452404605878321,0.6512064060915287,0.6512064060915287,-0.5195565424058544,-0.5195565424058544,
DFI,19,5,M38,module_plus_disjoint_proliferation,0.6,,149,37,114,29,8,251,251,0.4452404605878321,0.6512064060915287,0.6512064060915287,-0.5195565424058544,-0.5195565424058544,
DFI,19,5,M38,residual_to_original_proliferation,0.5545454545454546,,149,37,114,29,8,251,251,0.4452404605878321,0.6512064060915287,0.6512064060915287,-0.5195565424058544,-0.5195565424058544,0.8544360708931205
DFI,19,5,M38,residual_to_disjoint_proliferation,0.5545454545454546,,149,37,114,29,8,251,251,0.4452404605878321,0.6512064060915287,0.6512064060915287,-0.5195565424058544,-0.5195565424058544,0.8544360708931205
DFI,19,5,M38,residual_to_disjoint_proliferation_and_weight,0.5509090909090909,,149,37,114,29,8,251,251,0.4452404605878321,0.6512064060915287,0.6512064060915287,-0.5195565424058544,-0.5195565424058544,0.8382745486190744
DFI,19,5,M39,module_only,0.5781818181818181,,149,37,114,29,5,251,251,0.4853638012569424,0.6512064060915287,0.6512064060915287,0.5832049862046901,0.5832049862046901,
DFI,19,5,M39,original_proliferation_only,0.5509090909090909,,149,37,114,29,5,251,251,0.4853638012569424,0.6512064060915287,0.6512064060915287,0.5832049862046901,0.5832049862046901,
DFI,19,5,M39,module_plus_original_proliferation,0.5763636363636364,,149,37,114,29,5,251,251,0.4853638012569424,0.6512064060915287,0.6512064060915287,0.5832049862046901,0.5832049862046901,
DFI,19,5,M39,disjoint_proliferation_only,0.5509090909090909,,149,37,114,29,5,251,251,0.4853638012569424,0.6512064060915287,0.6512064060915287,0.5832049862046901,0.5832049862046901,
DFI,19,5,M39,module_plus_disjoint_proliferation,0.5763636363636364,,149,37,114,29,5,251,251,0.4853638012569424,0.6512064060915287,0.6512064060915287,0.5832049862046901,0.5832049862046901,
