analysis_set,initial_factors,module_label,n_module_genes,module_coverage_fraction,subspace_name,n_subspace_factors,subspace_factors,observed_capture,n_random_valid,random_mean,random_q95,observed_percentile,empirical_p_greater_equal,empirical_q_within_model_subspace,empirical_q_global
four_cohort_core_plus_frozen,8,M24,7,1.0,shared_non_ffpe_only,3,Factor3;Factor5;Factor6,0.027644746007404387,2000,0.012187761166593102,0.030552571186343733,0.9255,0.07496251874062969,0.14992503748125938,0.10914542728635682
four_cohort_core_plus_frozen,8,M24,7,1.0,gse39055_shared,3,Factor1;Factor2;Factor4,0.003204944873528217,2000,0.009617846110826157,0.020748975129564876,0.1205,0.879560219890055,1.0,0.9723865340057244
four_cohort_core_plus_frozen,8,M40,78,0.7027027027027027,all_retained,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.624596310639023,2000,0.07491436780245535,0.09488599144513822,1.0,0.0004997501249375312,0.0009995002498750624,0.0009281073748839865
four_cohort_core_plus_frozen,8,M40,78,0.7027027027027027,shared_two_or_more,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.624596310639023,2000,0.07491436780245535,0.09488599144513822,1.0,0.0004997501249375312,0.0009995002498750624,0.0009281073748839865
four_cohort_core_plus_frozen,8,M40,78,0.7027027027027027,ubiquitous_all_groups,3,Factor1;Factor2;Factor4,0.018172859396808957,2000,0.0688589579178818,0.08796368221490712,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,8,M40,78,0.7027027027027027,partially_shared,3,Factor3;Factor5;Factor6,0.6068405549329164,2000,0.008241896145557747,0.017236542548399413,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,8,M40,78,0.7027027027027027,shared_non_ffpe_only,3,Factor3;Factor5;Factor6,0.6068405549329164,2000,0.008241896145557747,0.017236542548399413,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,8,M40,78,0.7027027027027027,gse39055_shared,3,Factor1;Factor2;Factor4,0.018172859396808957,2000,0.0688589579178818,0.08796368221490712,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,12,M34,130,0.8024691358024691,all_retained,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.6201956809010909,2000,0.25965050063266176,0.2937456632959312,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,12,M34,130,0.8024691358024691,shared_two_or_more,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.6201956809010909,2000,0.25965050063266176,0.2937456632959312,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,12,M34,130,0.8024691358024691,ubiquitous_all_groups,4,Factor1;Factor2;Factor4;Factor7,0.5993621652754275,2000,0.048581576157762436,0.06292614429515206,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,12,M34,130,0.8024691358024691,partially_shared,4,Factor3;Factor5;Factor6;Factor8,0.07358070848909147,2000,0.22998745878855043,0.26829561532690355,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,12,M34,130,0.8024691358024691,shared_non_ffpe_only,4,Factor3;Factor5;Factor6;Factor8,0.07358070848909147,2000,0.22998745878855043,0.26829561532690355,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,12,M34,130,0.8024691358024691,gse39055_shared,4,Factor1;Factor2;Factor4;Factor7,0.5993621652754275,2000,0.048581576157762436,0.06292614429515206,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,12,M11,7,1.0,all_retained,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.043121080531784844,2000,0.017559232629497473,0.027540505309443308,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,12,M11,7,1.0,shared_two_or_more,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.043121080531784844,2000,0.017559232629497473,0.027540505309443308,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,12,M11,7,1.0,ubiquitous_all_groups,4,Factor1;Factor2;Factor4;Factor7,0.007481873290303906,2000,0.010074651705233507,0.018751566595918857,0.324,0.6761619190404797,0.9015492253873063,0.8014629049111808
four_cohort_core_plus_frozen,12,M11,7,1.0,partially_shared,4,Factor3;Factor5;Factor6;Factor8,0.03686076079045409,2000,0.008612646725314458,0.018926345230188102,0.9995,0.0009995002498750624,0.001999000499750125,0.0018190904547726137
four_cohort_core_plus_frozen,12,M11,7,1.0,shared_non_ffpe_only,4,Factor3;Factor5;Factor6;Factor8,0.03686076079045409,2000,0.008612646725314458,0.018926345230188102,0.9995,0.0009995002498750624,0.001999000499750125,0.0018190904547726137
four_cohort_core_plus_frozen,12,M11,7,1.0,gse39055_shared,4,Factor1;Factor2;Factor4;Factor7,0.007481873290303906,2000,0.010074651705233507,0.018751566595918857,0.324,0.6761619190404797,0.9015492253873063,0.8014629049111808
four_cohort_core_plus_frozen,12,M24,7,1.0,all_retained,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.05795283332768692,2000,0.023954781070718332,0.03751337368310592,0.9955,0.004997501249375313,0.004997501249375313,0.008745627186406797
