analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,subspace_name,n_subspace_factors,subspace_factors,observed_capture,n_random_valid,random_mean_capture,random_q95_capture,observed_percentile,empirical_p_greater_equal,empirical_q_global,empirical_q_within_subspace
four_cohort_detection_aware_variable_only_700,12,M34,162,40,0.24691358024691357,shared_non_ffpe_only,3,Factor5;Factor7;Factor8,0.035274156816787285,2000,0.015344496939915676,0.030336057464813528,0.9795,0.020989505247376312,0.027215205956343864,0.0472263868065967
four_cohort_detection_aware_variable_only_700,12,M34,162,40,0.24691358024691357,gse39055_shared,5,Factor1;Factor2;Factor3;Factor4;Factor6,0.2757167611611261,2000,0.048183108938179314,0.0612132527747306,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,12,M11,7,5,0.7142857142857143,all_retained,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.059464879211069514,2000,0.01600437790158553,0.02731960450419771,0.9995,0.0009995002498750624,0.001402968240650317,0.0011244377811094452
four_cohort_detection_aware_variable_only_700,12,M11,7,5,0.7142857142857143,shared_two_or_more,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.059464879211069514,2000,0.01600437790158553,0.02731960450419771,0.9995,0.0009995002498750624,0.001402968240650317,0.0011244377811094452
four_cohort_detection_aware_variable_only_700,12,M11,7,5,0.7142857142857143,ubiquitous_all_groups,5,Factor1;Factor2;Factor3;Factor4;Factor6,0.013755583216812993,2000,0.010660130304830755,0.018710355212922386,0.7935,0.20689655172413793,0.23623262995367988,0.20689655172413793
four_cohort_detection_aware_variable_only_700,12,M11,7,5,0.7142857142857143,partially_shared,3,Factor5;Factor7;Factor8,0.04685367322972173,2000,0.005903127675744561,0.016344142554645977,0.9995,0.0009995002498750624,0.001402968240650317,0.0029985007496251873
four_cohort_detection_aware_variable_only_700,12,M11,7,5,0.7142857142857143,shared_non_ffpe_only,3,Factor5;Factor7;Factor8,0.04685367322972173,2000,0.005903127675744561,0.016344142554645977,0.9995,0.0009995002498750624,0.001402968240650317,0.0029985007496251873
four_cohort_detection_aware_variable_only_700,12,M11,7,5,0.7142857142857143,gse39055_shared,5,Factor1;Factor2;Factor3;Factor4;Factor6,0.013755583216812993,2000,0.010660130304830755,0.018710355212922386,0.7935,0.20689655172413793,0.23623262995367988,0.20689655172413793
four_cohort_detection_aware_variable_only_700,12,M40,111,29,0.26126126126126126,all_retained,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.28595919931516695,2000,0.025244197279663212,0.03681771249349592,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,12,M40,111,29,0.26126126126126126,shared_two_or_more,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.28595919931516695,2000,0.025244197279663212,0.03681771249349592,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
