probe_id,gene_symbol,probe_variance
ILMN_3246895,ACTBL2,0.6640195339512714
ILMN_1658660,ACTC1,0.46836324482862984
ILMN_2053178,ACTG1,0.6296831864719228
ILMN_1795325,ACTG2,1.154620962719342
ILMN_1749297,ACTL6A,1.8602757558884546
ILMN_1657855,ACTL6B,1.1596705740193611
ILMN_1717900,ACTL7A,0.060933773716905816
ILMN_1796088,ACTL7B,0.08252089397101792
ILMN_1704078,ACTL8,0.22438678107597598
ILMN_2232177,ACTN1,0.9273063765534132
ILMN_1654422,ACTN2,0.24983879730147063
ILMN_1665691,ACTN3,0.4654432821340795
ILMN_1725534,ACTN4,0.7549484663461539
ILMN_1798254,ACTR10,0.7318779222337296
ILMN_1792314,ACTR1A,1.2044769771620512
ILMN_1695821,ACTR1B,4.511664779374626
ILMN_2388605,ACTR2,0.7520665959772688
ILMN_1657153,ACTR3,0.6767958249219858
ILMN_2260392,ACTR3B,0.9981861754367449
ILMN_1652594,ACTR5,0.29472075168404
ILMN_1697585,ACTR6,4.41115820587201
ILMN_1689162,ACTR8,0.16275538685261604
ILMN_1815392,ACTRT1,0.7961806120658932
ILMN_3241416,ACTRT2,0.2651217431816746
ILMN_1760490,ACVR1,2.9045000467940234
ILMN_1786544,ACVR1B,0.5643543815267145
ILMN_1689217,ACVR1C,0.19697700727241052
ILMN_2152711,ACVR2A,0.24939441695147005
ILMN_1668983,ACVR2B,0.04735632467513319
ILMN_3250257,ACVRL1,2.4889104071849264
ILMN_1683883,ACY1,0.5978776484133669
ILMN_1670193,ACY3,0.007724133255787159
ILMN_1694233,ACYP1,2.2986935835612052
ILMN_2158705,ACYP2,2.9675206203830746
ILMN_1803686,ADA,0.9625199067331669
ILMN_1745580,ADAD1,0.0026810532871108113
ILMN_1745108,ADAD2,0.2417544503985913
ILMN_1725043,ADAL,0.2361699887486144
ILMN_1718946,ADAM10,0.616996228209325
ILMN_1711374,ADAM11,0.2521389281457863
ILMN_1726266,ADAM12,1.1547692323631324
ILMN_2384544,ADAM15,2.274931003699854
ILMN_2121068,ADAM17,1.9819070588912946
ILMN_2201386,ADAM18,0.059391488169657856
ILMN_1713751,ADAM19,1.2112191081948145
ILMN_1662675,ADAM2,0.31139166415649533
ILMN_1737629,ADAM20,0.1588733654663805
ILMN_1812112,ADAM21,0.27599578863136354
ILMN_3241313,ADAM21P,2.0470022040866076
ILMN_1675210,ADAM22,1.2408277921144055
ILMN_2060086,ADAM23,0.04888753787902497
ILMN_1802100,ADAM28,1.3918985852623094
ILMN_2194158,ADAM29,0.055141547066274665
ILMN_2100871,ADAM30,0.0825999821461664
ILMN_1798045,ADAM32,1.381770685618573
ILMN_1651657,ADAM33,0.769829231546547
ILMN_1669486,ADAM3A,0.10601380149583285
ILMN_2302214,ADAM5P,0.30280931750366835
ILMN_2143210,ADAM6,0.2189195178215166
ILMN_1750294,ADAM7,0.3509407129219599
ILMN_1708348,ADAM8,0.2018599171411385
ILMN_1727524,ADAM9,0.5245452264205931
ILMN_1716909,ADAMDEC1,0.941859130349333
ILMN_1673566,ADAMTS1,1.1659265077916094
ILMN_1751168,ADAMTS10,0.2155196150371369
ILMN_1660970,ADAMTS12,0.14531503308188365
ILMN_2413732,ADAMTS13,0.7220664100033551
ILMN_1676452,ADAMTS14,1.1344076802069518
ILMN_1683781,ADAMTS15,0.12166050724088724
ILMN_1726247,ADAMTS16,0.10969233109417428
ILMN_1682989,ADAMTS17,0.13829079102376435
ILMN_1770152,ADAMTS18,3.741875136025568
ILMN_1656171,ADAMTS19,0.1660460939388036
ILMN_1796628,ADAMTS2,1.6865203836041767
ILMN_1651717,ADAMTS20,0.29975711148155637
ILMN_1703803,ADAMTS3,0.2956703136603013
ILMN_2092933,ADAMTS4,1.3150571618603926
ILMN_1681886,ADAMTS5,0.08118641763946373
ILMN_1767362,ADAMTS6,1.4047821711087263
ILMN_3251322,ADAMTS7,0.5952161208089981
ILMN_1672403,ADAMTS8,0.258205456885462
ILMN_1805543,ADAMTS9,0.1859986679487702
ILMN_1705250,ADAMTSL1,1.7194160578550923
ILMN_1721495,ADAMTSL2,4.6351357204618875
ILMN_1798690,ADAMTSL3,0.5793815996733854
ILMN_1762294,ADAMTSL4,1.4345415348264983
ILMN_1793040,ADAMTSL5,0.6208608277583392
