gene,gene_symbol_clean,candidate_source,coef_dfi,hr_per_sd_dfi,p_dfi,q_dfi,c_index_dfi,coef_os,hr_per_sd_os,p_os,q_os,c_index_os,same_direction,combined_rank_score,candidate_rank
CCNB2_3,CCNB2,dfi_top400,0.2817501051637767,1.325447456122981,0.0013823847312949,0.0240984228851898,0.5803743871638687,0.2293742271683289,1.2578126586145475,0.0119105438774736,0.1228971353258366,0.5828735907891581,True,769.0,285
PAG1_3,PAG1,dfi_top400,-0.274976716612815,0.7595898088426982,0.0013870403498103,0.0240984228851898,0.5681919477046501,-0.2968997928505747,0.7431184744150688,0.0017984479511138,0.0691710750428408,0.5779163668345726,True,416.0,286
LOC111090004_3,LOC111090004,dfi_top400,-0.2663072853450079,0.766203648170824,0.0013873018938825,0.0240984228851898,0.5786658743128807,-0.2296468541958291,0.7948142382610844,0.0123489116110194,0.1235586083768811,0.5612057247941153,True,786.0,287
PLCXD2_3,PLCXD2,dfi_top400,-0.2604150959023857,0.7707315918684515,0.0013880691581869,0.0240984228851898,0.5664834348536621,-0.2329781725174835,0.7921708644312982,0.0096609505601204,0.1105096994150872,0.559926441192932,True,725.0,288
GAB2_3,GAB2,dfi_top400,-0.2545634900412754,0.7752548305670246,0.0014013583800873,0.0242449546727907,0.5849799435447928,-0.2474688012849101,0.7807745795946005,0.0052991329870934,0.0905131297245226,0.5704805309026945,True,578.0,289
BTK_3,BTK,dfi_top400,-0.2557263903315317,0.7743538104993251,0.0014132443574082,0.0243662820242802,0.594488188976378,-0.2838919197848829,0.7528480082839063,0.0009328877213084,0.0621925147538959,0.6009434716558727,True,365.0,290
UBA7_3,UBA7,dfi_top400,-0.2517338263534733,0.7774516476708416,0.0014277771793526,0.0245124905856353,0.601099390878027,-0.2476500213520832,0.7806331003926619,0.0039735844944274,0.0842142486875269,0.5991045014791717,True,523.0,291
MCAM_3,MCAM,dfi_top400,0.2693589794818722,1.309125005721792,0.0014315294502011,0.0245124905856353,0.5862427573911752,0.129312245688804,1.1380454184688678,0.1308794151100702,0.3904517157221666,0.5329815303430079,True,1968.0,292
PAPPA_3,PAPPA,dfi_top400,-0.2641251687672426,0.7678774193712267,0.001436957923892,0.0245214662780205,0.5728717872530085,-0.2466515495067089,0.781412929819047,0.0065813445859544,0.0979778914473647,0.575277844407132,True,627.0,293
PIK3CG_3,PIK3CG,dfi_top400,-0.2518658204638634,0.7773490354044924,0.0014423289690773,0.0245294042360085,0.5897340662605853,-0.2435608768559025,0.7838317573668615,0.0040864952852512,0.0842142486875269,0.5875909490685216,True,534.0,294
RAB29_3,RAB29,dfi_top400,-0.2641243592566359,0.7678780409763939,0.0014578827039611,0.0246801004519989,0.5936710741346011,-0.2316344454818051,0.7932360413319371,0.0088207252840974,0.1062195405934212,0.5935875909490685,True,707.0,295
GBP1_3,GBP1,dfi_top400,-0.2812305562028462,0.7548542790798007,0.0014635210824822,0.0246801004519989,0.6149903431882335,-0.2494665621702486,0.7792163356968265,0.0095797225017671,0.1103654666102201,0.6091788598384904,True,730.0,296
PRKX_3,PRKX,dfi_top400,-0.2677830271763658,0.7650737633101126,0.0014703539046093,0.0246801004519989,0.5637349576585946,-0.2091314732552495,0.8112885658827514,0.0288678834407494,0.1801150407042975,0.5474534260813945,True,1098.0,297
SH3D19_3,SH3D19,dfi_top400,-0.2589210953345511,0.77188392588385,0.0014709339869391,0.0246801004519989,0.5781458921408409,-0.2858351657005014,0.7513864600005187,0.0016632650397588,0.0687746935736468,0.5730390981050612,True,416.0,298
STK39_3,STK39,dfi_top400,0.229576100412167,1.2580666029675052,0.0014860869403221,0.0248509521793004,0.5863913237260436,0.2145508196649376,1.239305100444137,0.0063640160007145,0.0976073458336615,0.577116814583833,True,625.0,299
PGAP1_3,PGAP1,dfi_top400,0.2784353886485093,1.3210612470858838,0.0015085687654199,0.0251428127569989,0.5866141732283464,0.233198571757008,1.2626321775255929,0.013537674511286,0.12915128895332,0.5699208443271768,True,823.0,300
CEP72_3,CEP72,dfi_top400,0.2691360585453883,1.3088332068747863,0.001516118888502,0.0251846991445518,0.5821571831822909,0.2430841915628689,1.2751759786577992,0.0068999680586962,0.0982775333921948,0.583033501239306,True,651.0,301
KIF23_3,KIF23,dfi_top400,0.2808806192671412,1.3242954991309035,0.0015416844568659,0.0255245771004297,0.5938939236369039,0.2184838894530728,1.2441889719008827,0.017862648448453,0.1462721258335606,0.592548173023107,True,912.0,302
MCTP1_3,MCTP1,dfi_top400,-0.2800839248939294,0.7557203150469547,0.0015760101897825,0.0259498179609128,0.6104590699747438,-0.2480674932413984,0.7803072760333665,0.0085258345690775,0.1062195405934212,0.6150155912688894,True,704.0,303
NSMCE2_3,NSMCE2,dfi_top400,0.2562167741496282,1.292032776891423,0.0015777489320235,0.0259498179609128,0.5782944584757094,0.2773719312584967,1.3196571014968466,0.0029072557860288,0.0811208319080179,0.5763972175581674,True,483.0,304
